Course Code,Course Title,Instructor
CS 211,Introduction to Artificial Intelligence,Instructor:N. Thakur
CS 325,Artificial Intelligence,Instructor:E. Agichtein
FILM 485,Advanced Topics in Film and Media Studies: Artificial Intelligence & Film,Instructor:G. Zinman
LAW 802A,SEM: Artificial Intelligence and the Law,Instructor:M. Sag
LAW 803E,Artificial Intelligence in Health Care for Professionals,Instructor:C. Tschider
MD 920,Translation: Elective: Artif.Intell/Machine Learning,Instructor:J. Gichoya
MD 920,Translation: Elective: Clinical Informatics,Instructor:W. Armstrong
QTM 347,Machine Learning I,Instructor:R. Xiong
ACT 499R,Special Topics: Machine Learning,N/A
ACT 599R,Special Topics: Machine Learning,N/A
BIOS 534,Machine Learning,Instructor:Qin/Pittard
BMI 510,Biostatistics for Machine Learning,Instructor:J. McKay
BMI 534,Introduction to Machine Learning,Instructor:H. Kwon
CS 323,Machine Learning Applications,Instructor:N. Thakur
CS 334,Machine Learning,Instructor:J. Ho
CS 534,Machine Learning,Instructor:H. Kwon
DATA 534,Applied Machine Learning,Instructor:M. Lau
ISOM 676,Machine Learning & AI at Scale,N/A
QTM 447,Statistical Machine Learning 2,Instructor:K. McAlister
QTM 490R,Advanced Seminar: Machine Learning Theory,Instructor:D. Hirshberg
BIOS 761,Causal Inference,Instructor:D. Benkeser
BUS 390A,TechTool: Getting Started with Python,Instructor:W. Gu
DATA 521,Database Development for Public Health,N/A
ECON 520,Data Sciences for Economics,Instructor:P. Sant'Anna
EPI 760,Causal Inference,Instructor:D. Benkeser
FIN 430,Foundations of FinTech,Instructor:T. Balyuk
FIN 630,Foundations of FinTech,Instructor:T. Balyuk
FIN 669,FinTech Innovation 1:  Traditional and Platform-based Businesses,Instructor:T. Balyuk
ISOM 454,Data Science for Business,Instructor:E. Zhang
ISOM 554,Data Science for Business,Instructor:E. Zhang
QTM 521,Applied II,Instructor:Glynn/Sutherland
QTM 531,Computing II,Instructor:A. Sanchez Becerra
